fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Sep,27,RAJASTHAN,2705,JHUNJHUNU,1990847,192.64243816024,34,131,735.169311167,394,3,6431,950602,517370,70454,23324,4720,123.51025,2689.942431167,27851,29983,84742,166219,37,192275,361894,6825,1831.26287,640510,48,28.18,60.62,99.85,NA
2024-2025,Sep,27,RAJASTHAN,2708,DHOLPUR,1805683,233.973662096708,23,146,899.581715378001,927,0,5611,760182,290961,83470,87179,22659,69.49702,2747.704399378,32587,39527,117401,238995,14,207482,413776,6538,1778.625664,462117,44,31.49,43.44,99.72,NA
2024-2025,Sep,27,RAJASTHAN,2711,DAUSA,1947049,204.497955065317,24,148,629.235414411,800,5,6829,1077208,256411,49688,337997,71684,91.76163,2923.865376211,43897,49551,123770,230758,3,215984,387261,7629,2202.8683318,899623,53,20.29,62.2,99.57,NA
2024-2025,Sep,27,RAJASTHAN,2713,SIKAR,2483734,231.891287722908,34,130,1385.260970008,1488,2,9467,1761264,685129,83218,88559,10585,88.84183,5558.320569808,51475,56750,121897,225730,65,295601,530672,10955,4084.2177698,1338787,56,33.52,47.97,99.82,NA
2024-2025,Sep,27,RAJASTHAN,2714,NAGAUR,8408834,225.087724781737,37,996,12825.204875674,5671,1,22775,11930996,3588450,309934,25791,2514,370.54963,40050.961945874,322188,378872,516539,1111005,144,645170,1378773,28446,26855.2074402,8777719,37,11.26,65.19,99.79,NA
2024-2025,Sep,27,RAJASTHAN,2717,BARMER,15864889,272.38692695136,48,951,16779.694596106,39667,0,94289,14760658,2186476,179505,835789,70986,567.35619,57553.153510106,304273,484233,583008,1111744,5243,683792,1299608,133956,40206.102724,8316093,91,76.9,8.45,99.78,NA
2024-2025,Sep,27,RAJASTHAN,2718,JALORE,4402599,206.0898469875,40,465,3001.556188238,3953,0,11659,4735038,1421473,117294,698413,58982,169.19167,12929.180427238,117742,132678,232038,456691,335,331072,648422,15612,9758.432569,3976947,58,31.77,47.45,99.83,NA
2024-2025,Sep,27,RAJASTHAN,2720,PALI,6223379,184.057684130091,33,401,1906.045925211,2845,2,9772,4979455,1164974,138395,616396,56778,221.97763,11293.093110511,148187,159765,275350,602798,108,401638,864941,12617,9165.0695553,4201081,35,15.7,46.88,99.75,NA
2024-2025,July,27,RAJASTHAN,2703,BIKANER,4110443,267.535400360441,28,371,8018.94531702999,2567,0,24272,2984673,1087464,203860,27885,4364,139.44007,16143.44224703,104090,143678,297427,562036,6,407750,768269,26839,7985.05686,1581258,45,38.18,28.21,99.87,NA
2024-2025,July,27,RAJASTHAN,2709,KARAULI,2942244,237.839620073998,25,203,2068.259068621,708,6,10620,970031,241959,75113,221579,80882,113.51598,4488.893093621,37522,50514,171747,311945,4,252815,454384,11328,2307.118045,568765,42,28.07,55.95,100.99,NA
2024-2025,July,27,RAJASTHAN,2711,DAUSA,1644609,208.130067201146,22,129,370.188112456,642,7,6666,907425,216369,49476,281181,71311,75.39152,2334.203894756,39955,44619,123277,229738,0,215563,386373,7308,1888.6242623,763766,53,16.75,66.06,99.92,NA
2024-2025,July,27,RAJASTHAN,2721,AJMER,9794965,192.608709635329,33,920,2492.15819819,2445,1,16515,9350039,1435942,114296,284803,23449,133.18633,20634.33399649,283068,307332,411557,732466,6,488798,867549,18960,18008.9894683,7648218,20,29.63,49.46,99.95,NA
2024-2025,July,27,RAJASTHAN,2722,TONK,2763656,216.955494620683,34,357,705.384820335,1667,0,14791,2633048,543239,92161,564904,69673,244.31857,6662.245702335,77114,106860,194434,431558,326,295169,655594,16458,5712.542312,1615502,78,51.17,26.3,99.94,NA
2024-2025,July,27,RAJASTHAN,2723,BUNDI,3036162,214.294271993405,28,348,478.605952548,1768,1,8857,2819061,565050,75272,756428,97184,69.10517,6588.79736954801,97693,116007,165355,378392,39,243166,555538,10625,6041.08624700001,1930516,45,36.47,18.75,99.98,NA
2024-2025,July,27,RAJASTHAN,2705,JHUNJHUNU,1443259,200.906348538836,28,99,467.04495982,204,3,6251,658687,356874,70089,16156,4695,85.89679,1876.28574982,23006,24647,84278,165288,1,192072,361472,6455,1323.344,442622,48,27.02,60.64,99.97,NA
2024-2025,July,27,RAJASTHAN,2708,DHOLPUR,1584549,238.092442347162,21,129,628.926691201,556,0,5661,631929,242262,83322,73777,22620,53.29063,2186.792511201,29307,35196,117142,238395,3,207277,413323,6217,1504.57519,398491,44,27.04,48.29,99.92,NA
2024-2025,July,27,RAJASTHAN,2710,SAWAI MADHOPUR,2021073,198.587628735931,23,168,448.589609021,1756,4,8042,1062252,256902,79707,238658,84461,95.78547,2653.876137021,45854,57329,164681,345978,27,265176,557413,9798,2109.501058,726415,71,30.8,50.71,99.93,NA
2024-2025,July,27,RAJASTHAN,2713,SIKAR,1782006,241.305619154362,28,107,915.122607819,975,2,9486,1277662,491370,82696,63931,10503,64.55395,4062.746757619,44579,48744,121032,224044,5,297058,533512,10461,3083.0701998,969523,56,33.79,47.46,99.96,NA
