fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Dec,27,RAJASTHAN,2705,JHUNJHUNU,2895987,194.091938303863,41,154,1141.055964766,2141,2,5472,1341802,712501,70911,35320,4767,486.75693,4232.142404766,32358,35519,85431,167634,506,192580,362550,7613,2604.32951,900598,50,29.09,58.24,99.95,NA
2024-2025,Dec,27,RAJASTHAN,2707,BHARATPUR,3243316,214.174509730044,29,656,1233.956099992,3058,0,6676,2399321,644003,108261,34576,8316,234.06035,6606.750438592,82634,101986,179605,390976,574,379161,796811,9734,5138.7339886,1584072,41,14.35,42.77,99.89,NA
2024-2025,Dec,27,RAJASTHAN,2711,DAUSA,2845293,207.143482886283,26,172,1156.321279696,1631,1,6677,1251686,296642,50024,390940,72045,343.71056,4092.817814896,47173,54028,124385,232136,8,216599,388778,8308,2592.7859752,1034710,53,21.56,56.52,99.89,NA
2024-2025,Dec,27,RAJASTHAN,2721,AJMER,14281541,198.84723190286,35,953,9558.66887897,7957,0,15073,10474459,1568362,114497,312368,23452,1171.21246,31558.05311727,293414,320884,412360,733723,148,490591,870588,23030,20828.1717783,8565799,24,26.16,45.54,99.98,NA
2024-2025,Dec,27,RAJASTHAN,2726,UDAIPUR,13423932,216.183270847521,48,783,13203.573541293,25255,1,29649,12202770,410930,29502,9103744,562950,1038.40677,40622.327631293,253958,312511,386130,793313,12047,570017,1153936,54904,26380.34732,8712572,65,23.32,37.37,99.73,NA
2024-2025,Dec,27,RAJASTHAN,2727,DUNGARPUR,14133499,217.919043036776,54,5311,17525.446261667,18577,0,27384,17697608,466243,20917,13176948,524930,454.0882,56545.992455667,323735,430057,364633,723961,10625,409645,804195,45961,38566.457994,12751474,39,15.26,51.62,99.99,NA
2024-2025,Dec,27,RAJASTHAN,2730,KOTA,5024587,205.841500799452,40,487,597.091493265,1951,0,8384,3827620,1070416,69194,680119,44208,180.10364,8656.025586165,95386,117197,122793,249332,492,166513,330286,10335,7878.8304529,2680749,51,32.65,26.45,99.96,NA
2024-2025,Dec,27,RAJASTHAN,2704,CHURU,4906986,214.324235835612,41,330,8281.62938155901,7317,0,15002,6530074,2072716,159768,63815,4904,397.03056,22674.191141559,156455,198383,264782,527357,672,366514,719722,22319,13995.5312,4056874,62,57.51,25.12,99.87,NA
2024-2025,Dec,27,RAJASTHAN,2717,BARMER,22097412,271.072370657971,54,1118,29771.7690762309,62579,0,83885,18957585,2822517,181017,1048694,71560,1725.53305,82886.0772052309,350945,565944,587887,1120942,16845,688751,1308805,146464,51388.775079,10544334,92,77.32,6.4,99.99,NA
2024-2025,Dec,27,RAJASTHAN,2720,PALI,8762996,186.386340460422,37,440,2963.948405793,6560,2,10573,6001796,1381754,139072,905143,57241,500.49216,14650.968492093,158034,172391,276378,605305,1971,402460,866895,17133,11186.5279263,5060948,46,16.59,44.38,99.94,NA
2024-2025,Dec,27,RAJASTHAN,2724,BHILWARA,13793302,211.418858917909,34,1055,16942.498832532,15994,1,31688,12443259,2257462,150329,1538262,92902,955.28602,44205.181042532,356830,411889,477657,850283,530,533023,939708,47682,26307.39619,9654081,47,26.34,30.83,99.97,NA
2024-2025,Dec,27,RAJASTHAN,2708,DHOLPUR,2641978,234.177391913843,24,176,2974.155097724,2260,0,5893,898820,351268,83732,100570,22717,73.92257,5152.910901724,36246,44353,117772,239904,25,207717,414375,8153,2104.833234,540590,51,34.72,35.41,99.97,NA
2024-2025,Dec,27,RAJASTHAN,2709,KARAULI,5422249,232.167099702608,29,259,4997.955614193,6175,2,8244,1426402,368302,75430,295801,80803,336.42697,8646.018737693,48703,66488,172573,312393,22,253746,454846,14419,3311.6361535,839404,45,23.65,56.28,100.91,NA
2024-2025,Dec,27,RAJASTHAN,2714,NAGAUR,11772854,232.842795784948,41,1115,21741.9690068669,10809,1,22327,14284711,4323478,311031,30913,2533,761.15439,55764.0438590669,347338,414818,518931,1115704,2296,647513,1383025,33136,33260.9204622,10470900,41,12.32,58.56,99.95,NA
2024-2025,Dec,27,RAJASTHAN,2718,JALORE,6242685,209.260254724858,43,494,4624.903285631,8748,0,10868,5374976,1619914,117902,785135,59224,245.045,16117.636754631,123736,141473,233052,458832,1939,331858,650033,19616,11247.688469,4486458,63,32.77,43.09,99.98,NA
2024-2025,Dec,27,RAJASTHAN,2719,SIROHI,6339344,205.225032761277,54,280,1296.372864383,4362,0,8157,5293597,1302201,71886,1739513,96385,214.18789,12374.346931883,97146,111073,144549,293104,6555,197591,393209,12519,10863.7861775,4483003,56,29.89,54.84,99.92,NA
2024-2025,Dec,27,RAJASTHAN,2722,TONK,4713574,218.53877605141,35,401,2195.926036983,5514,0,17323,3046860,635018,92830,634702,70174,457.79332,9312.289908983,85242,118959,195723,434606,975,296002,657404,22837,6658.570552,1854365,82,50.16,22.84,99.96,NA
2024-2025,Dec,27,RAJASTHAN,2726,UDAIPUR,13423932,216.214927427196,48,783,13203.573541293,25260,1,29637,12204434,411184,29503,9104052,562971,1038.40677,40629.788427293,253976,312543,386134,793370,12066,570098,1154135,54897,26387.808116,8713751,65,23.25,37.29,99.74,NA
2024-2025,Dec,27,RAJASTHAN,2727,DUNGARPUR,14133499,217.929949187547,54,5311,17525.450785667,18740,0,27427,17705699,466266,20917,13183558,524940,454.0882,56565.559819667,323774,430126,364635,723970,10654,409673,804261,46167,38586.020834,12757680,40,15.26,51.59,100,NA
2024-2025,Dec,27,RAJASTHAN,2729,CHITTORGARH,5664520,218.234005303738,40,350,2461.369209024,2883,0,9831,4239274,875694,69376,954056,69363,554.54411,12267.450765024,105631,130724,178931,346399,1940,286073,536447,12714,9251.537446,3142839,56,29.68,47.91,99.95,NA
2024-2025,Dec,27,RAJASTHAN,2731,BARAN,4367658,214.164940061292,36,399,3834.528655547,5011,3,18611,4292218,898898,82276,1273579,117900,817.57377,13844.528532547,117651,166692,180692,407675,2474,275480,611893,23622,9192.426107,2557956,75,12.88,48.03,99.92,NA
2024-2025,Dec,27,RAJASTHAN,2732,JHALAWAR,9071505,233.233566602105,39,661,13983.446242639,16674,0,23456,9103376,1947467,125948,1467687,88839,784.54262,36000.117388639,227792,326649,315909,584509,617,362987,661360,40130,21232.128526,4990993,59,39.02,32.56,100.01,NA
2024-2025,Dec,27,RAJASTHAN,2733,PRATAPGARH,10892842,209.332461348137,56,1308,7988.38092592701,8593,0,37112,12129105,520539,22863,9452603,343878,243.68689,33622.221851927,215410,326340,253827,460395,21578,288250,516115,45705,25390.154036,6817599,74,43.41,26.07,98.82,NA
2024-2025,Nov,27,RAJASTHAN,2706,ALWAR,3402443,228.313157427517,26,376,2053.818443787,2048,9,9843,2083994,716738,105836,300586,57006,176.08417,6987.935115787,78468,89327,197718,366366,246,323407,585159,11891,4758.032502,1588972,36,9.32,64.38,100.03,NA
2024-2025,Nov,27,RAJASTHAN,2714,NAGAUR,10618652,232.968717259399,39,1046,21645.176161067,9548,1,22257,13121094,3955864,310503,28107,2525,761.15439,52974.374933267,335127,398126,517834,1113514,882,646619,1381356,31805,30568.0443822,9596469,39,11.97,60.95,99.88,NA
2024-2025,Nov,27,RAJASTHAN,2719,SIROHI,5717839,204.72837944246,50,270,1296.372864383,3891,0,7910,4764928,1192642,71644,1522978,96044,214.18789,11265.720630383,94491,107345,144125,292119,3468,197360,392629,11801,9755.159876,4031354,55,29.51,56.05,99.9,NA
2024-2025,Nov,27,RAJASTHAN,2728,BANSWARA,16669946,217.270675399648,37,2752,11909.06082643,12074,2,33571,10050405,391424,29598,8102124,626335,723.74933,34469.39298033,270455,397623,383826,768044,6035,430609,850765,45645,21836.5828239,6041173,55,53.16,24.83,99.97,NA
2024-2025,Nov,27,RAJASTHAN,2733,PRATAPGARH,9824916,208.661796384836,55,1299,7988.38092592701,7487,0,35217,11799632,508526,22826,9180318,343089,243.68689,32853.391913927,213482,322508,253182,459134,20269,286970,513996,42704,24621.324098,6628178,73,43.36,27.52,98.81,NA
2024-2025,Nov,27,RAJASTHAN,2702,HANUMANGARH,5773886,210.95065107681,45,385,2631.064471756,4745,0,11052,7263398,3339882,176044,24351,1324,611.08404,18564.333883056,158143,177326,212346,443125,1261,290374,600048,15797,15322.1853713,4897540,40,58.21,6.9,99.86,NA
2024-2025,Nov,27,RAJASTHAN,2705,JHUNJHUNU,2612067,194.043062228207,39,148,1138.518844766,1778,2,5521,1229105,658280,70773,31502,4746,486.75693,4010.268754766,31213,34098,85247,167227,310,192496,362373,7299,2384.99298,823984,50,28.98,59.11,99.94,NA
2024-2025,Nov,27,RAJASTHAN,2715,JODHPUR,8881241,212.747212297401,32,540,6026.23785678999,4970,3,25124,6851789,1393995,163960,240877,31466,1084.56325,21687.79119679,208474,247931,442550,913601,324,590586,1217591,30094,14576.99009,4992017,70,32.24,44.18,99.78,NA
2024-2025,Nov,27,RAJASTHAN,2716,JAISALMER,4313840,238.520923874426,54,369,11979.895970413,6513,0,18511,6114857,1012543,40328,378275,15745,276.31694,26841.426320413,111263,154471,147022,261671,684,166805,295486,25024,14585.21341,3973356,37,21.96,52.75,99.75,NA
2024-2025,Nov,27,RAJASTHAN,2723,BUNDI,4335547,213.654996056314,32,393,1272.495991358,2914,1,11193,3444747,699452,75668,920382,97774,193.8861,8826.256158358,104968,128120,166265,380473,541,244091,557356,14107,7359.874067,2297810,57,40.31,18.18,99.98,NA
2024-2025,Nov,27,RAJASTHAN,2727,DUNGARPUR,12747862,218.047324651869,53,5312,17507.707141167,10271,0,27975,17330025,456969,20897,12894597,524452,454.0882,55749.451215167,322788,427992,364409,723349,9769,409350,803457,38246,37787.655874,12471522,35,15.03,51.95,99.98,NA
2024-2025,Nov,27,RAJASTHAN,2733,PRATAPGARH,9824916,209.05200289363,55,1305,7988.38092592701,7867,0,35750,11957300,513446,22837,9316704,343368,243.68689,33229.042957927,214226,324019,253433,459559,20790,287068,514204,43617,24996.975142,6724134,74,43.72,27.19,98.82,NA
2024-2025,Nov,27,RAJASTHAN,2704,CHURU,4425909,212.542401980547,40,324,8276.52429155901,4770,0,14827,6275438,2001550,159508,61830,4900,397.03056,22011.521511559,153686,194201,264241,526251,486,366230,719138,19597,13337.96666,3912123,60,57.24,26.5,99.74,NA
2024-2025,Nov,27,RAJASTHAN,2705,JHUNJHUNU,2612067,194.145522649019,39,148,1139.582434766,1883,2,5424,1229678,658434,70775,31523,4746,486.75693,4013.704144766,31217,34102,85248,167232,313,192510,362402,7307,2387.36478,824365,50,29.19,58.92,99.95,NA
2024-2025,Nov,27,RAJASTHAN,2715,JODHPUR,8881241,212.882792511173,33,544,6026.26847878999,5121,2,25276,6915582,1404383,163989,242390,31472,1084.56325,21832.91580879,209327,249429,442618,913747,403,590659,1217737,30397,14722.08408,5031290,70,32.54,43.77,99.79,NA
2024-2025,Nov,27,RAJASTHAN,2719,SIROHI,5717839,205.098859096111,51,275,1296.372864383,4003,0,8215,4958174,1231112,71716,1608101,96184,214.18789,11679.719060383,95506,108807,144304,292450,4674,197434,392740,12218,10169.158306,4192346,56,29.67,55.53,99.91,NA
2024-2025,Nov,27,RAJASTHAN,2725,RAJSAMAND,8332152,208.819623717369,49,910,2975.736783467,2440,0,9927,6845599,1308744,65706,1036736,61771,317.79777,17588.488626467,139018,152382,200521,370837,1570,250229,454784,12367,14294.954073,5876181,38,21.98,62.85,99.96,NA
2024-2025,Nov,27,RAJASTHAN,2728,BANSWARA,16669946,217.731564277815,37,2816,11908.15806523,12919,2,38116,10408490,409036,29608,8384588,626661,723.74933,35294.47548993,275443,406663,384072,768492,6635,431324,851946,51035,22662.5680947,6251829,59,52.91,24.18,99.98,NA
2024-2025,July,27,RAJASTHAN,2701,SRI GANGANAGAR,3287226,208.626010459831,21,485,990.147177736,2202,0,13456,3428736,1998384,258306,8271,1474,93.51282,8236.895123736,159083,177106,259722,491860,3,320593,598550,15658,7153.235126,2351086,45,67.44,4.15,99.97,NA
2024-2025,July,27,RAJASTHAN,2702,HANUMANGARH,2635651,210.672890938675,23,276,813.596666825,1929,0,9670,3024381,1389546,173953,9508,1313,186.79203,7371.939582525,128501,138550,209219,436614,4,288401,595940,11599,6371.5508857,2016852,29,50.34,8.64,99.84,NA
2024-2025,July,27,RAJASTHAN,2729,CHITTORGARH,3575262,212.126802817209,35,309,864.432140308,1000,0,7985,3521641,732127,68728,796357,68764,110.50579,8445.282390308,98059,118502,177235,343245,37,285302,535076,8985,7470.34446,2692344,44,25.96,55.88,99.92,NA
2024-2025,July,27,RAJASTHAN,2733,PRATAPGARH,7213135,207.403824324333,50,1258,2045.668993673,3351,1,36974,10343971,455667,22703,8015934,340143,75.20381,23574.664244673,206586,309251,251128,455184,13406,283915,508197,40325,21453.791441,5858537,73,41.92,29.21,99.05,NA
2024-2025,July,27,RAJASTHAN,2704,CHURU,2941802,196.98253695968,33,278,3782.177153082,1340,0,15630,4633901,1574044,158462,47380,4863,78.76037,12988.913273082,137011,168554,261245,520258,24,364879,716394,16970,9127.97575,2987487,58,49.55,37.36,99.86,NA
2024-2025,July,27,RAJASTHAN,2705,JHUNJHUNU,1443259,201.11612286109,28,99,467.04495982,204,3,6251,658630,356874,70091,16156,4695,85.89679,1877.55286982,23003,24642,84278,165290,1,192075,361480,6455,1324.61112,442592,48,27.02,60.64,99.99,NA
2024-2025,July,27,RAJASTHAN,2713,SIKAR,1782006,241.313118393466,28,107,915.122607819,976,2,9486,1278280,491818,82698,63949,10503,64.55395,4064.333887619,44609,48776,121032,224046,5,297083,533551,10462,3084.6573298,970071,56,33.81,47.46,99.96,NA
2024-2025,July,27,RAJASTHAN,2715,JODHPUR,6525173,210.943132466773,26,458,1908.691856491,1157,9,25093,4465701,924402,163140,159033,31314,570.34636,11899.127792491,170471,195916,440176,908784,48,588366,1213255,26250,9420.089576,3358606,69,26.2,52.58,99.82,NA
2024-2025,July,27,RAJASTHAN,2726,UDAIPUR,8111996,217.886649461824,35,604,3976.834997908,12734,6,28452,7609873,253329,28954,5706671,553189,296.05791,20853.790215908,215040,255163,379248,777902,1143,564049,1141190,41186,16580.897308,5502282,61,21.94,41.14,99.9,NA
2024-2025,July,27,RAJASTHAN,2727,DUNGARPUR,9067467,216.531687693503,46,5166,4721.862578691,2974,0,30404,14689403,390885,20786,10904199,522183,228.11155,36757.186356691,314667,410976,362876,720351,4351,406978,798973,33378,31807.212228,10563718,29,13.18,54.82,99.97,NA
2024-2025,July,27,RAJASTHAN,2731,BARAN,2765828,208.91824591873,31,367,1046.700801619,1424,5,17515,3393674,750744,81843,930396,115718,141.35065,8278.055644619,107231,148554,178636,403457,248,272399,606287,18939,7090.004193,2075629,71,10.96,61.2,99.94,NA
2024-2025,July,27,RAJASTHAN,2716,JAISALMER,2179631,238.687587195092,42,317,3797.911427354,2803,0,19413,4099428,703760,39847,256725,15518,103.53465,13686.271859354,96526,129845,145149,258092,50,164543,291272,22216,9784.825782,2737258,31,21.26,60.57,99.83,NA
2024-2025,July,27,RAJASTHAN,2718,JALORE,3738594,210.483769447837,35,422,1786.708656864,2387,0,12333,3820862,1145315,116845,557284,58807,140.35992,9969.362939864,109083,121818,231204,454979,18,330579,647380,14720,8042.294363,3208763,59,29.36,50.6,99.96,NA
2024-2025,July,27,RAJASTHAN,2726,UDAIPUR,8111996,217.806823789103,35,604,3976.834997908,12735,6,28453,7612662,253429,28957,5708565,553202,296.05791,20853.790215908,215044,255172,379250,777924,1149,564093,1141294,41188,16580.897308,5504461,61,21.94,41.16,99.9,NA
2024-2025,July,27,RAJASTHAN,2727,DUNGARPUR,9067467,216.303414251971,46,5167,4721.862578691,2995,0,30442,14726974,391716,20789,10936123,522249,228.11155,36804.921706691,314787,411263,362909,720420,4358,407033,799090,33437,31854.947578,10588271,29,13.24,54.77,99.97,NA
2024-2025,July,27,RAJASTHAN,2730,KOTA,3305823,202.324743096774,36,447,234.592978408,864,1,7010,3298168,917295,68757,585180,43949,79.98115,6987.584061308,91312,109723,121895,247574,21,165455,328152,7874,6673.0099329,2325671,40,28.88,28.48,99.96,NA
2024-2025,Aug,27,RAJASTHAN,2705,JHUNJHUNU,1740328,188.31991563519,32,110,467.04495982,297,3,6456,823092,448737,70288,19875,4708,110.64732,2127.73843982,25644,27578,84545,165804,3,192190,361697,6753,1550.04616,555568,48,28.06,60.36,99.98,NA
2024-2025,Aug,27,RAJASTHAN,2716,JAISALMER,2672931,232.480717866532,47,344,3814.543187354,3006,0,19908,4871992,827073,39981,305992,15588,113.70235,15254.687513354,102421,139337,145739,259209,83,165023,292205,22914,11326.441976,3237575,32,21.17,60.64,99.79,NA
2024-2025,Aug,27,RAJASTHAN,2719,SIROHI,4295883,195.528331395253,41,239,470.44884195,2775,0,6179,3569683,923828,71326,1121463,95501,75.35354,7525.54398795,86416,96718,143257,290458,475,196939,391922,8954,6979.741606,3016223,46,29.87,55.44,99.93,NA
2024-2025,Aug,27,RAJASTHAN,2720,PALI,5877674,183.29578127213,32,394,1083.48824975,2682,2,9766,4773036,1111067,138309,576663,56732,203.99189,10036.25376635,146718,157924,275203,602480,52,401522,864660,12448,8748.7736266,4030925,35,14.6,47.42,99.94,NA
2024-2025,Aug,27,RAJASTHAN,2733,PRATAPGARH,7467591,206.061857510709,53,1287,2045.668993673,3999,1,37209,11166762,485552,22763,8675052,341800,83.73054,25139.836734673,210480,316822,252321,457315,16837,284906,510070,41208,23010.437201,6292061,73,42.4,28.87,98.93,NA
2024-2025,Nov,27,RAJASTHAN,2704,CHURU,4425909,213.418770272574,41,325,8277.64275155901,5442,0,14671,6383008,2029045,159625,62721,4899,397.03056,22297.210491559,154843,195930,264485,526751,523,366339,719339,20113,13622.53718,3971995,61,57.54,25.82,99.82,NA
2024-2025,Nov,27,RAJASTHAN,2705,JHUNJHUNU,2612067,194.141516666251,40,150,1140.607184766,1965,2,5440,1283552,683178,70838,33406,4754,486.75693,4119.271434766,31760,34789,85345,167454,412,192548,362483,7405,2491.90732,860212,50,29.17,58.12,99.96,NA
2024-2025,Nov,27,RAJASTHAN,2715,JODHPUR,8881241,212.858925575331,33,556,6027.61004658999,5605,2,25621,7123552,1441959,164094,249646,31482,1084.56325,22275.28954659,212724,254529,442858,914251,673,590933,1218295,31226,15163.11625,5164686,71,32.89,42.48,99.79,NA
2024-2025,Nov,27,RAJASTHAN,2718,JALORE,5630657,209.540117765617,42,489,4624.190967231,6587,0,10742,5279130,1590121,117827,771584,59184,245.045,15931.131186231,123054,140421,232915,458504,1590,331745,649780,17329,11061.895219,4406874,62,32.78,43.68,99.99,NA
2024-2025,Nov,27,RAJASTHAN,2724,BHILWARA,12441017,211.40980714721,34,1050,16930.355612532,12558,1,31129,12274803,2222637,150264,1516600,92880,955.28602,43835.778982532,355561,409562,477507,849987,371,532673,939035,43687,25950.13735,9534005,45,26.69,31.5,99.95,NA
2024-2025,Sep,27,RAJASTHAN,2703,BIKANER,5393455,254.56992332688,31,441,11735.872240607,3094,0,26048,3838503,1404236,204384,34993,4374,149.1228,21656.669184607,120593,168872,298300,563714,129,408662,769902,29142,9771.674144,2015383,46,42.62,24.34,99.91,NA
2024-2025,Sep,27,RAJASTHAN,2708,DHOLPUR,1805683,234.060309829772,23,146,899.581715378001,881,0,5640,749702,287873,83467,86740,22658,64.20193,2718.538469378,32349,39175,117379,238947,14,207453,413715,6521,1754.754824,457482,44,31.18,43.74,99.93,NA
2024-2025,Sep,27,RAJASTHAN,2716,JAISALMER,3354870,235.460333811468,50,349,6085.57446914,3603,0,19365,5269082,881991,40056,325436,15624,113.70235,18605.87488514,105002,143743,146040,259765,122,165234,292625,22968,12406.598066,3482652,32,21.04,60.06,99.84,NA
2024-2025,Sep,27,RAJASTHAN,2721,AJMER,10221645,193.502541017802,34,934,4345.687936477,3000,1,16184,9787153,1489104,114381,297975,23443,144.64817,23428.725854777,287268,312857,411801,732927,18,489326,868600,19184,18938.3897483,7996814,20,28.74,48.52,99.95,NA
2024-2025,Sep,27,RAJASTHAN,2701,SRI GANGANAGAR,4440862,179.130394061326,32,590,1614.116911983,3039,0,14189,6087352,3556022,260056,16177,1510,104.72239,12623.136927483,187225,214209,261774,495872,133,321752,600882,17228,10904.2976255,4192551,42,67.29,3.61,100.02,NA
2024-2025,Sep,27,RAJASTHAN,2704,CHURU,3445661,202.153906805828,37,303,6268.40600461001,3010,0,15314,5570241,1825929,158929,56813,4874,87.86103,17616.72683461,146909,183262,262543,522832,80,365365,717406,18324,11260.4598,3531005,59,55.23,31.25,99.89,NA
2024-2025,Sep,27,RAJASTHAN,2712,JAIPUR,2857338,203.58329073758,26,260,1046.776286635,2620,3,7721,2353521,617205,106907,345186,60378,189.88244,6028.034226635,88036,92844,247721,445653,75,448601,803892,10341,4791.3755,2094478,36,25.18,58.64,99.96,NA
2024-2025,Sep,27,RAJASTHAN,2716,JAISALMER,3354870,235.284703436054,50,349,6085.57446914,3639,0,19331,5273753,883442,40058,325733,15624,113.70235,18607.61092514,105018,143778,146041,259771,123,165248,292659,22970,12408.334106,3484811,32,21.05,59.86,99.84,NA
2024-2025,Sep,27,RAJASTHAN,2718,JALORE,4402599,205.82134189263,39,462,2999.243466038,3591,0,11982,4652563,1397716,117248,688136,58965,154.77973,12729.990795038,117132,131839,231957,456534,256,331007,648289,15573,9575.967599,3911912,58,31.32,47.8,99.97,NA
2024-2025,Sep,27,RAJASTHAN,2721,AJMER,10221645,193.461235487314,34,936,4345.687936477,3141,1,16064,9796774,1489691,114383,298120,23443,144.64817,23443.296124777,287326,312935,411805,732935,19,489373,868738,19205,18952.9600183,8004856,20,28.69,48.5,99.95,NA
2024-2025,Sep,27,RAJASTHAN,2722,TONK,3296554,216.479336548666,35,379,1011.922883207,2150,0,14559,2812565,583641,92291,596791,69760,252.42833,7352.973265207,79953,111160,194710,432207,610,295458,656231,16709,6088.622052,1717700,78,50.6,25.68,99.92,NA
2024-2025,Sep,27,RAJASTHAN,2725,RAJSAMAND,6564590,205.468830465374,40,853,1681.412800994,1418,0,8782,5278202,1014940,65448,815602,61484,142.78683,12669.259549994,130192,140814,199515,368847,244,249493,453265,10200,10845.059919,4532795,28,23.33,63.19,99.99,NA
2024-2025,Sep,27,RAJASTHAN,2727,DUNGARPUR,10002875,216.478578134101,49,5235,7950.937921285,4802,0,29351,15760980,420706,20826,11694825,522831,247.93399,42318.017315285,317339,417025,363363,721173,6478,407751,800260,34153,34119.145404,11330096,30,14.43,53.37,99.99,NA
2024-2025,Sep,27,RAJASTHAN,2730,KOTA,3521314,202.347033945205,37,463,383.267868608,1033,1,7097,3445877,955719,68837,611399,43991,90.2694,7446.167171508,92399,111741,122101,247964,93,165754,328729,8130,6972.6299029,2421004,40,29.71,28.46,99.97,NA
2024-2025,Sep,27,RAJASTHAN,2731,BARAN,3043662,210.536305955778,32,378,1784.732645589,2399,3,17943,3642631,789495,81889,1031500,116336,157.26149,9611.054882589,110387,153976,179159,404511,588,273068,607549,20342,7669.060747,2197767,73,11.11,57.16,99.95,NA
2024-2025,Sep,27,RAJASTHAN,2708,DHOLPUR,1805683,234.74786858955,23,145,860.118025378001,813,0,5683,744507,285867,83451,86305,22654,64.20193,2672.034269378,32257,39058,117368,238916,14,207425,413656,6496,1747.714314,455000,44,31.12,43.85,99.93,NA
2024-2025,Sep,27,RAJASTHAN,2711,DAUSA,1947049,205.289809734748,24,148,550.029744411,793,5,6796,1053792,250960,49670,329588,71640,82.74155,2796.098886211,43434,49006,123722,230650,3,215862,386996,7589,2163.3275918,880928,53,19.62,63.24,99.87,NA
2024-2025,Sep,27,RAJASTHAN,2717,BARMER,15864889,274.346757152404,47,928,15509.202126106,35805,0,97303,14115079,2097315,179369,808353,70946,525.58149,54759.045122106,297620,472997,582595,1110946,3755,683268,1298615,133108,38724.261506,7979932,91,76.28,8.95,99.97,NA
2024-2025,Sep,27,RAJASTHAN,2721,AJMER,10221645,193.570145084647,34,933,3448.229666477,2707,1,16444,9773398,1487555,114379,297645,23446,144.64817,22511.258524777,287006,312570,411792,732925,17,489236,868445,19151,18918.3806883,7986538,20,28.79,48.63,99.95,NA
2024-2025,Sep,27,RAJASTHAN,2722,TONK,3296554,216.555923015043,35,378,891.008623207,1996,0,14688,2805691,582774,92278,595834,69759,252.42833,7219.326995207,79877,111036,194699,432186,554,295412,656131,16684,6075.890042,1714076,78,50.58,25.74,99.92,NA
2024-2025,Sep,27,RAJASTHAN,2733,PRATAPGARH,7685587,207.352665584151,53,1288,3087.571102217,4855,1,36490,11230634,486503,22764,8728885,341903,83.73054,26458.320603217,210693,317223,252376,457446,17131,285144,510529,41345,23287.018961,6324804,73,42.37,28.75,98.88,NA
2024-2025,Aug,27,RAJASTHAN,2706,ALWAR,2287641,230.448625395292,22,313,657.5821136,1230,13,9342,1459365,516006,105099,216841,56723,102.61288,4123.2815756,65039,72615,196364,363586,8,322638,583455,10572,3363.086582,1123655,33,8.9,62.18,100.02,NA
2024-2025,Aug,27,RAJASTHAN,2718,JALORE,4103317,207.749568042159,38,444,1786.932086864,2821,0,12483,4346952,1303573,117071,640927,58894,154.77973,10972.485819864,113966,127858,231628,455866,61,330839,647946,15304,9030.774003,3654795,59,30.49,49.41,99.95,NA
2024-2025,Aug,27,RAJASTHAN,2728,BANSWARA,12534987,215.049677367431,35,2669,4454.890325967,5520,2,37573,9399733,359566,29548,7600007,625819,433.74861,25102.734425867,263160,385438,383538,767287,4892,426664,843360,43093,20214.0954899,5648362,53,51.91,26.79,99.96,NA
2024-2025,Aug,27,RAJASTHAN,2702,HANUMANGARH,3859470,206.443967392009,29,320,814.189016825,2097,0,10083,4244297,1946916,174567,13582,1311,226.5208,9802.804931525,142824,155797,210242,438663,22,288915,596920,12180,8762.0951147,2840933,28,53.54,8.18,99.85,NA
2024-2025,Aug,27,RAJASTHAN,2703,BIKANER,4654143,263.802901352983,30,399,8019.78125702999,2750,0,24975,3347197,1224994,204062,31064,4366,149.1228,16998.90685703,110670,153529,297755,562682,16,408266,769137,27725,8830.0028,1772378,45,40.16,26.99,99.85,NA
2024-2025,Aug,27,RAJASTHAN,2704,CHURU,3145720,198.251738604968,36,294,3782.177153082,2194,0,15808,5178002,1731697,158744,53147,4869,87.86103,14135.517173082,143369,177698,261903,521594,28,365126,716967,18002,10265.47899,3313850,59,52.48,34.03,99.86,NA
2024-2025,Aug,27,RAJASTHAN,2720,PALI,5877674,183.090519458272,32,393,1083.48824975,2640,2,9761,4675775,1087046,138284,567760,56715,203.99189,9848.38087595,145895,156916,275142,602343,44,401472,864543,12401,8560.9007362,3947823,35,14.02,47.65,99.94,NA
2024-2025,Aug,27,RAJASTHAN,2729,CHITTORGARH,3787310,213.520486656222,37,317,864.432140308,1049,0,8122,3700189,770471,68779,828550,68841,126.63652,8891.730220308,99667,120932,177467,343684,140,285425,535292,9171,7900.66156,2813095,43,27.28,54.7,99.88,NA
